movie_name,date,regions,types,actors,actor_count,score,vote_count
肖申克的救赎,1994-09-10,美国,犯罪|剧情,蒂姆·罗宾斯|摩根·弗里曼|鲍勃·冈顿|威廉·桑德勒|克兰西·布朗|吉尔·贝罗斯|马克·罗斯顿|詹姆斯·惠特摩|杰弗里·德曼|拉里·布兰登伯格|尼尔·吉恩托利|布赖恩·利比|大卫·普罗瓦尔|约瑟夫·劳格诺|祖德·塞克利拉|保罗·麦克兰尼|芮妮·布莱恩|阿方索·弗里曼|V·J·福斯特|弗兰克·梅德拉诺|马克·迈尔斯|尼尔·萨默斯|耐德·巴拉米|布赖恩·戴拉特|唐·麦克马纳斯,25,9.7,3065926
霸王别姬,1993-07-26,中国大陆|中国香港,剧情|爱情|同性,张国荣|张丰毅|巩俐|葛优|英达|蒋雯丽|吴大维|吕齐|雷汉|尹治|马明威|费振翔|智一桐|李春|赵海龙|李丹|童弟|沈慧芬|黄斐|徐杰|黄磊|冯远征|杨立新|方征|周璞|隋永清|宋小川|杜广沛,28,9.6,2264084
控方证人,1957-12-17,美国,剧情|犯罪|悬疑|惊悚,泰隆·鲍华|玛琳·黛德丽|查尔斯·劳顿|埃尔莎·兰彻斯特|约翰·威廉姆斯|亨利·丹尼尔|伊安·沃尔夫|托林·撒切尔|诺玛·威登|尤娜·奥康纳|Francis Compton|Philip Tonge|茹塔·李|帕特里克·艾亨|Don Ames|沃尔特·培根|埃迪·贝克|Benjie Bancroft|John Barton|Brandon Beach|贝丝·弗劳尔斯|比尔·厄尔文|J·帕特·奥马利|本·怀特|Paul Kruger|Jack Raine|Paul Power|乔治·佩林|威廉·H·奥布莱恩|奥托拉内史密斯|Frank McClure|Colin Kenny|Jeanne Lafayette|Wilbur Mack|Fred Rapport|利奥达·理查德斯|Glen Walters|Arthur Tovey|伯特史蒂文斯|Cap Somers|Lucille Sewall|斯考特西顿|诺贝特·席勒|杰弗里·塞尔|John Roy|Al Roberts|Art Howard|Stuart Hall|富兰克林·法纳姆|玛乔丽·伊顿|史蒂夫·卡鲁瑟斯|George Calliga|乔治布鲁格曼|丹尼·鲍沙其,54,9.6,632309
泰坦尼克号,1998-04-03,美国|墨西哥,剧情|爱情|灾难,莱昂纳多·迪卡普里奥|凯特·温斯莱特|比利·赞恩|凯西·贝茨|弗兰西丝·费舍|格劳瑞亚·斯图尔特|比尔·帕克斯顿|伯纳德·希尔|大卫·沃纳|维克多·加博|乔纳森·海德|苏茜·爱米斯|刘易斯·阿伯内西|尼古拉斯·卡斯柯恩|阿那托利·萨加洛维奇|丹尼·努齐|杰森·贝瑞|伊万·斯图尔特|艾恩·格拉法德|乔纳森·菲利普斯|马克·林赛·查普曼|理查德·格拉翰|保罗·布赖特威尔|艾瑞克·布里登|夏洛特·查顿|博纳德·福克斯|迈克尔·英塞恩|法妮·布雷特|马丁·贾维斯|罗莎琳·艾尔斯|罗切尔·罗斯|乔纳森·伊万斯-琼斯|西蒙·克雷恩|爱德华德·弗莱彻|斯科特·安德森|马丁·伊斯特|克雷格·凯利|格雷戈里·库克|利亚姆·图伊|詹姆斯·兰开斯特|艾尔莎·瑞雯|卢·帕尔特|泰瑞·佛瑞斯塔|凯文·德·拉·诺伊|詹姆斯·卡梅隆|罗恩·多纳基|史蒂文·奎里|詹妮特·戈德斯坦恩|琳达·克恩斯|林凡 |马丁·哈伯|马丁·莱恩|德里克·李|保罗·赫伯特|艾利克斯·欧文斯-萨尔诺|Julene Renee|季冠霖|曲敬国|竹内结子|詹姆斯·霍纳|姜广涛|佐佐木澄江|刘之玲,63,9.5,2323292
阿甘正传,1994-06-23,美国,剧情|爱情,汤姆·汉克斯|罗宾·怀特|加里·辛尼斯|麦凯尔泰·威廉逊|莎莉·菲尔德|海利·乔·奥斯蒙|迈克尔·康纳·亨弗里斯|哈罗德·G·赫瑟姆|山姆·安德森|伊俄涅·M·特雷奇|彼得·道博森|希芳·法隆|伊丽莎白·汉克斯|汉娜·豪尔|克里斯托弗·琼斯|罗布·兰德里|杰森·麦克奎尔|桑尼·施罗耶|艾德·戴维斯|丹尼尔C.斯瑞派克|大卫·布里斯宾|德博拉·麦克蒂尔|艾尔·哈林顿|阿非莫·奥米拉|约翰·沃德斯塔德|迈克尔·伯吉斯|埃里克·安德伍德|拜伦·明斯|斯蒂芬·布吉格沃特|约翰·威廉·高尔特|希拉里·沙普兰|伊莎贝尔·罗斯|理查德·达历山德罗|迪克·史迪威|迈克尔-杰斯|杰弗里·布莱克|瓦妮莎·罗斯|迪克·卡维特|马拉·苏查雷特扎|乔·阿拉斯奇|W·本森·泰瑞|约翰·列侬|埃尔维斯·普雷斯利|罗纳德·里根|鲍勃·霍普|约翰·肯尼迪|理查德·尼克松|吴俊全|蒂莫西·麦克尼尔|杰拉尔德·福特|布雷特·赖斯,51,9.5,2283308
美丽人生,2020-01-03,意大利,剧情|喜剧|爱情|战争,罗伯托·贝尼尼|尼可莱塔·布拉斯基|乔治·坎塔里尼|朱斯蒂诺·杜拉诺|赛尔乔·比尼·布斯特里克|玛丽萨·帕雷德斯|霍斯特·布赫霍尔茨|利迪娅·阿方西|朱利亚娜·洛约迪切|亚美利哥·丰塔尼|彼得·德·席尔瓦|弗朗西斯·古佐|拉法埃拉·莱博罗尼|克劳迪奥·阿方西|吉尔·巴罗尼|马西莫·比安奇|恩尼奥·孔萨尔维|吉安卡尔洛·科森蒂诺|阿伦·克雷格|汉尼斯·赫尔曼|弗兰科·梅斯科利尼|安东尼奥·普雷斯特|吉娜·诺维勒|理查德·塞梅尔|安德烈提多娜|迪尔克·范登贝格|奥梅罗·安东努蒂|沈晓谦|张欣,29,9.5,1396013
辛德勒的名单,1993-11-30,美国,剧情|历史|战争,连姆·尼森|本·金斯利|拉尔夫·费因斯|卡罗琳·古多尔|乔纳森·萨加尔|艾伯丝·戴维兹|马尔戈萨·格贝尔|马克·伊瓦涅|碧翠斯·马科拉|安德烈·瑟韦林|弗里德里希·冯·图恩|克齐斯茨托夫·拉夫特|诺伯特·魏塞尔|维斯瓦夫·科马萨|埃琳娜·勒文松|奥拉夫·卢巴申科|戈兹·奥托|阿格尼兹卡·旺格|玛雅·奥丝塔泽斯卡|胡契克·卡勒塔|安娜·穆查|玛莎·比森|艾尔文·莱德|帕维·德朗柯|路德格·皮斯特|阿格涅兹卡·克鲁科沃娜|约阿希姆·保罗·阿斯波克|约亨·尼克尔|耶日·诺瓦克|塔德乌什·布拉德茨基|亨里克·比斯塔|马丁·塞梅洛格|布兰科·拉斯蒂格|吉恩·莱赫纳|马瑞安·格林卡|布拉德·雅各布维茨|皮奥特·赛尔沃斯|托马斯·德德克|托马斯·莫里斯|塔德乌什·胡克|马切伊·奥尔洛斯|埃兹拉·达甘|拉米·希尔伯格|马切伊·科兹罗斯基|尤金纽斯·普里维任采夫|拉齐亚·以色列,46,9.5,1180489
茶馆,1982,中国大陆,剧情|历史,于是之|郑榕|蓝天野|英若诚|黄宗洛|童超|金昭|林连昆|牛星丽|谭宗尧|童弟|吴淑昆|胡宗温|程中|李大千|李源|李翔|张瞳|任宝贤|尚丽娟|米铁增|田春奎|冯增祥|雷飞|林东升|孟瑾|孙峻峰|平原|曹世骧|王大年|王淑华|张华|丁海涛|朱旭|孙敬修|曹孟浪|何康理|董行佶|肖鹏|杜广沛|李容|王领|赵恕|李廷栋|张馨|张福元|王德立|杨宝琮,48,9.6,175460
这个杀手不太冷,1994-09-14,法国|美国,剧情|动作|犯罪,让·雷诺|娜塔莉·波特曼|加里·奥德曼|丹尼·爱罗|彼得·阿佩尔|迈克尔·巴达鲁科|艾伦·格里尼|伊丽莎白·瑞根|卡尔·马图斯维奇|弗兰克·赛格|麦温|乔治·马丁|罗伯特·拉萨多|亚当·布斯奇|马里奥·托迪斯科|萨米·纳塞利|埃莱娜·卡多纳|让·雨果·安格拉德|沈晓谦|大塚明夫|基思·A·格拉斯科|阿尔森·吉罗扬|米歇尔·蒙塔纳里,23,9.4,2404799
千与千寻,2019-06-21,日本,剧情|动画|奇幻,柊瑠美|入野自由|夏木真理|菅原文太|中村彰男|玉井夕海|神木隆之介|内藤刚志|泽口靖子|我修院达也|大泉洋|小林郁夫|上条恒彦|小野武彦|田壮壮|王琳|安田显|户次重幸|胡立成|山像香|斋藤志郎|脇田茂|彭昱畅|井柏然|周冬雨|塔拉·斯特朗|黛维·切斯|迈克尔·切克利斯|苏珊娜·普莱舍特|约翰·拉森贝格|迪·布拉雷·贝克尔|苏珊·伊甘|戴维·奥格登·施蒂尔斯|莫娜·马歇尔|詹妮弗·达林|雪莉·琳恩|杰森·马斯登|杰克·安杰尔|罗德格尔·邦帕斯|保罗·伊丁|鲍伯·伯根|吉姆·瓦德|菲尔·普洛克特,43,9.4,2371982
